Average of XMX,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0.003386,0.093515,0.198479,0.307183,0.391752,0.504935,0.585446,0.687899,0.819572,0.887385,1.068607,1.141388,1.288706,1.387869,1.401806,1.450613,1.547318,1.646909,1.810354,1.916869,2.064749,2.138123,2.14381,2.324674,2.36152,2.428576,2.52901,2.620657,2.775183,2.781294,2.798286,2.847282,3.262653,3.314579,3.507222,3.567646,3.656357,3.70217,3.786935,3.857476,3.863736,4.00661,4.081311,4.210465,4.231803,4.421105,4.543025,4.688144,4.7958,4.813933,4.843748,4.933912,5.014533,5.230345,5.351723,5.457276,5.485825,5.502633,5.69207,5.693876,5.813115,5.899268,6.071158,6.10338,6.147031,6.192758,6.385745,6.464676,6.497434,6.71141,6.824215,6.867675,7.003187,7.061385,7.14554,7.299295,7.349622,7.425072,7.465434,7.735016,7.847417,7.907021,7.950226,7.950705,7.974098,8.124535,8.192636,8.267383,8.270418,8.390259,8.426881,8.554548,8.606737,8.632997,8.701102,8.8209,8.950221,9.242558,9.578524,9.61988,9.705546,9.794768,9.899582,10.017177,10.191832,10.241365,10.353114,10.461704,10.523206,10.747604,10.884938,10.96576,11.198642,11.349238,11.363359,11.461929,11.463005,11.496125,11.516748,11.566216,11.59997,11.633632,11.66529,11.700964,12.077164,12.250247,12.262277,12.442918,12.455239,12.565391,12.60975,12.815228,12.860967,13.100665,13.120425,13.483309,13.726935,15.086524,15.420146,15.456656,16.64431,17.589434,21.674939,24.420976,42.127154,44.253864,54.803514,55.322727,59.274434,71.871323,89.823465,109.656049,111.762604,123.998953,134.113419,134.316856,138.70839,144.081054,148.105903,154.512859,157.005291,164.53757,164.638379,168.547962,172.00519,175.226062,184.048043,186.270188,188.127291,191.322885,208.467826,217.607555,217.929146,223.980436,227.4241,232.585048,240.657775,255.387581,(blank),Grand Total
1.266667713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17700,,,17700
1.331789176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500,,,,,,17500
1.367236652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,,,,17600
1.474398482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17400,,,,,,,17400
1.542349671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17300,,17300
1.666263926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100,,,,,,,,,,,,16100
1.683583004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200,,,,,,,,,17200
1.802957492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,,,,,,,,,,17000
1.944853468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16600,,,,,,,,,,,16600
